RELEASENUMBER,familyid,hhsize,age,lifesatis,dwellingunit,ownhome,employmnt,salaryamnt,owncar,numbercars,ownbusiness,healthins,collegeeduc,highlifesatis,age2,logage,worknow,retired
2,3992,2,63,2,1,1,1,5000,1,4,1,1,1,1,63,4.1431346,1,0
2,4364,1,64,2,1,1,3,0,1,1,0,1,0,1,64,4.1588831,0,0
2,3818,1,69,3,1,1,4,0,1,2,0,1,0,0,69,4.2341065,0,1
2,4401,5,44,1,1,1,1,0,1,5,0,1,0,1,44,3.7841897,1,0
2,9570,3,43,1,1,1,1,0,1,3,0,1,0,1,43,3.7612002,1,0
2,5861,3,36,2,2,0,5,0,0,0,0,1,0,1,36,3.583519,0,0
2,8610,4,42,3,1,1,6,0,1,2,0,1,0,0,42,3.7376697,0,0
2,7631,4,38,2,1,1,1,0,1,2,0,1,0,1,38,3.6375861,1,0
2,8110,1,84,2,7,0,4,0,0,0,0,1,0,1,84,4.4308167,0,1
2,3774,1,65,4,1,1,2,0,1,4,1,1,0,0,65,4.1743875,0,0
2,5514,1,64,3,1,1,1,0,1,1,0,1,0,0,64,4.1588831,1,0
2,4863,2,45,4,4,0,1,0,1,1,0,1,0,0,45,3.8066626,1,0
2,470,2,59,1,1,1,1,0,1,1,0,1,0,1,59,4.0775375,1,0
2,868,1,52,2,1,0,1,0,1,1,0,1,0,1,52,3.9512436,1,0
2,40,4,51,2,1,1,1,0,1,2,0,1,0,1,51,3.9318256,1,0
2,392,5,43,1,1,1,1,80000,1,3,0,1,0,1,43,3.7612002,1,0
2,283,7,25,3,2,1,1,0,1,4,0,1,0,0,25,3.2188759,1,0
2,1963,1,67,3,6,1,1,60000,1,1,0,1,0,0,67,4.2046928,1,0
2,1885,1,47,2,6,0,1,100000,1,1,0,1,0,1,47,3.8501475,1,0
2,1100,5,46,2,6,0,6,0,1,2,0,1,0,1,46,3.8286414,0,0
2,3586,2,70,3,1,1,4,0,1,2,0,1,1,0,70,4.2484951,0,1
2,1914,2,71,2,1,1,4,0,1,2,1,1,1,1,71,4.2626801,0,1
2,2698,2,72,2,1,1,1,0,1,1,1,1,1,1,72,4.2766662,1,0
2,2741,1,49,2,1,0,1,0,0,0,1,1,0,1,49,3.8918202,1,0
2,3059,3,47,2,1,1,1,0,1,4,0,1,1,1,47,3.8501475,1,0
2,2687,1,45,2,1,1,1,0,1,2,1,1,0,1,45,3.8066626,1,0
2,3578,3,48,4,3,0,1,0,1,1,0,1,0,0,48,3.871201,1,0
2,3880,1,83,2,1,1,4,0,1,1,0,1,0,1,83,4.4188404,0,1
2,6831,2,57,2,1,1,1,0,1,2,0,1,1,1,57,4.0430512,1,0
2,3902,1,55,3,3,0,5,0,0,0,0,1,0,0,55,4.0073333,0,0
2,4503,3,54,2,1,1,1,96000,1,5,0,1,0,1,54,3.9889841,1,0
2,3886,2,35,3,3,0,5,0,0,0,0,1,0,0,35,3.5553482,0,0
2,8258,2,34,2,3,0,1,0,1,2,0,1,1,1,34,3.5263605,1,0
2,8096,7,31,2,1,0,1,0,1,3,0,1,0,1,31,3.4339871,1,0
2,8600,1,31,2,1,1,1,56000,1,1,0,1,0,1,31,3.4339871,1,0
2,8029,3,47,2,1,1,1,92000,1,5,0,1,1,1,47,3.8501475,1,0
2,8259,5,47,2,1,1,1,0,1,5,0,1,1,1,47,3.8501475,1,0
2,8073,4,40,2,1,1,1,52000,1,1,1,1,1,1,40,3.6888795,1,0
2,8293,2,54,3,1,1,1,0,1,3,0,1,1,0,54,3.9889841,1,0
2,9260,2,40,2,4,1,1,0,1,1,0,1,0,1,40,3.6888795,1,0
2,8517,2,38,3,1,1,5,0,1,3,0,1,1,0,38,3.6375861,0,0
2,4197,4,36,2,3,0,1,123000,1,2,0,1,1,1,36,3.583519,1,0
2,3834,3,32,3,1,0,1,0,1,1,0,1,0,0,32,3.4657359,1,0
2,3858,4,62,1,1,1,4,0,1,2,0,1,0,1,62,4.1271343,0,1
2,7180,3,37,2,1,1,1,39850,1,1,0,1,0,1,37,3.6109178,1,0
2,4383,5,37,1,1,1,1,0,1,2,0,1,0,1,37,3.6109178,1,0
2,6731,5,46,3,1,1,1,0,1,1,0,1,0,0,46,3.8286414,1,0
2,8301,4,50,2,1,1,1,0,1,2,0,1,0,1,50,3.9120231,1,0
2,8454,5,38,2,1,1,1,0,1,2,0,1,0,1,38,3.6375861,1,0
2,4456,2,59,1,1,1,1,0,1,2,0,1,1,1,59,4.0775375,1,0
2,4212,2,61,3,3,0,4,0,0,0,0,1,0,0,61,4.1108737,0,1
2,4811,3,39,1,6,0,1,0,1,1,0,1,0,1,39,3.6635616,1,0
2,8283,2,22,1,4,1,1,0,1,1,0,1,0,1,22,3.0910425,1,0
2,5238,2,61,3,4,1,1,0,1,3,0,1,0,0,61,4.1108737,1,0
2,7953,2,50,2,4,1,5,0,1,3,0,1,0,1,50,3.9120231,0,0
2,8738,3,35,1,1,0,1,0,1,3,1,1,0,1,35,3.5553482,1,0
2,3360,1,61,4,4,1,4,0,1,1,0,1,0,0,61,4.1108737,0,1
2,3359,2,27,3,4,0,3,0,1,1,0,0,0,0,27,3.2958369,0,0
2,4260,2,81,1,1,1,4,0,1,1,0,1,0,1,81,4.3944492,0,1
2,4959,3,52,2,1,1,1,5900,1,2,1,1,0,1,52,3.9512436,1,0
2,4710,1,28,3,1,1,1,0,1,1,0,0,0,0,28,3.3322046,1,0
2,3934,2,26,2,1,0,1,0,1,2,0,1,0,1,26,3.2580965,1,0
2,3782,2,26,3,1,1,1,62000,1,3,0,1,0,0,26,3.2580965,1,0
2,3833,2,56,2,1,1,1,0,1,2,1,1,0,1,56,4.0253515,1,0
2,9208,4,49,2,1,1,1,0,1,4,0,1,1,1,49,3.8918202,1,0
2,7897,3,45,1,1,1,1,55000,1,3,0,1,1,1,45,3.8066626,1,0
2,6845,4,47,2,1,1,1,75000,1,4,0,1,1,1,47,3.8501475,1,0
2,5744,4,32,1,1,1,1,1600,1,4,0,1,0,1,32,3.4657359,1,0
2,6005,2,82,2,1,1,4,0,1,1,0,1,0,1,82,4.4067192,0,1
2,5715,1,57,2,1,1,1,0,0,0,0,1,0,1,57,4.0430512,1,0
2,6377,1,53,2,1,0,1,0,1,1,0,1,0,1,53,3.9702919,1,0
2,7312,1,28,2,1,0,1,2000,1,1,0,1,0,1,28,3.3322046,1,0
2,6193,2,25,3,3,0,1,0,1,2,0,1,1,0,25,3.2188759,1,0
2,5884,4,57,2,1,1,1,0,1,6,1,1,1,1,57,4.0430512,1,0
2,6411,2,44,1,1,1,1,145000,1,2,0,1,1,1,44,3.7841897,1,0
2,5290,2,75,2,4,1,4,0,1,1,0,1,0,1,75,4.3174882,0,1
2,9018,4,50,3,4,1,1,5500,1,2,0,1,0,0,50,3.9120231,1,0
2,5557,6,38,2,1,0,2,0,1,3,0,1,0,1,38,3.6375861,0,0
2,4282,2,82,2,1,0,4,0,1,2,0,1,0,1,82,4.4067192,0,1
2,4452,2,59,2,4,1,1,0,1,2,0,1,0,1,59,4.0775375,1,0
2,4300,2,56,3,1,0,5,0,1,4,0,1,0,0,56,4.0253515,0,0
2,7199,2,55,2,1,1,1,5982,1,1,0,1,0,1,55,4.0073333,1,0
2,6979,5,52,1,1,1,3,0,1,4,0,1,0,1,52,3.9512436,0,0
2,4352,1,50,2,1,0,6,0,0,0,0,1,0,1,50,3.9120231,0,0
2,7142,3,38,2,4,0,1,0,1,2,0,1,0,1,38,3.6375861,1,0
2,7513,4,37,2,2,0,1,0,1,2,0,1,0,1,37,3.6109178,1,0
2,7058,5,36,2,1,1,1,0,1,3,0,1,0,1,36,3.583519,1,0
2,7986,1,28,3,2,0,1,0,0,0,0,1,0,0,28,3.3322046,1,0
2,4413,1,26,2,1,0,1,0,0,0,0,1,0,1,26,3.2580965,1,0
2,7038,1,26,2,1,0,1,0,1,1,0,0,0,1,26,3.2580965,1,0
2,4406,2,24,1,3,0,1,70000,1,2,0,1,1,1,24,3.1780539,1,0
2,4717,2,58,2,1,1,1,0,0,0,0,1,0,1,58,4.0604429,1,0
2,4632,2,62,3,1,1,1,0,1,1,0,1,0,0,62,4.1271343,1,0
2,4417,3,68,2,1,1,4,0,1,3,0,1,0,1,68,4.2195077,0,1
2,7626,3,54,2,3,0,1,0,1,3,0,1,1,1,54,3.9889841,1,0
2,4675,1,80,1,1,1,4,0,1,1,0,1,0,1,80,4.3820267,0,1
2,6553,1,52,3,1,0,3,0,0,0,0,0,0,0,52,3.9512436,0,0
2,9312,1,41,2,4,0,6,0,0,0,0,0,0,1,41,3.713572,0,0
2,6266,3,24,3,2,0,3,0,0,0,0,1,0,0,24,3.1780539,0,0
2,7132,3,24,3,4,0,1,0,1,1,0,1,0,0,24,3.1780539,1,0
2,4917,2,29,3,1,0,1,0,0,0,0,1,0,0,29,3.3672957,1,0
2,2661,2,68,2,6,1,1,0,1,2,1,1,0,1,68,4.2195077,1,0
2,3493,3,47,4,1,0,1,0,1,1,0,1,0,0,47,3.8501475,1,0
2,2874,4,41,2,1,1,1,65000,1,2,0,1,1,1,41,3.713572,1,0
2,2995,2,26,1,3,0,7,0,1,2,1,1,0,1,26,3.2580965,0,0
2,2757,2,71,2,1,1,1,0,1,1,0,1,0,1,71,4.2626801,1,0
2,3156,5,47,3,1,1,1,60000,1,4,0,1,0,0,47,3.8501475,1,0
2,2089,2,66,2,1,1,1,9999999,1,2,0,1,1,1,66,4.1896548,1,0
2,1440,2,65,2,1,1,4,0,1,2,0,1,1,1,65,4.1743875,0,1
2,1941,4,36,2,1,1,1,71500,1,2,0,1,1,1,36,3.583519,1,0
2,1576,2,24,1,1,1,1,0,1,2,0,1,1,1,24,3.1780539,1,0
2,1407,3,59,2,1,1,1,63000,1,3,0,1,1,1,59,4.0775375,1,0
2,1931,3,38,2,1,1,1,85000,1,2,0,1,1,1,38,3.6375861,1,0
2,1547,3,29,1,1,1,1,44000,1,2,0,1,1,1,29,3.3672957,1,0
2,3783,1,79,4,4,1,4,0,0,0,0,1,0,0,79,4.3694477,0,1
2,7213,5,50,1,1,1,1,0,1,3,0,1,0,1,50,3.9120231,1,0
2,8752,2,24,2,3,0,1,0,1,2,0,1,0,1,24,3.1780539,1,0
2,2554,1,83,2,3,0,6,0,1,1,0,1,0,1,83,4.4188404,0,0
2,3647,1,55,3,3,1,1,0,1,1,0,1,0,0,55,4.0073333,1,0
2,4782,1,63,1,1,0,1,70000,1,1,1,0,0,1,63,4.1431346,1,0
2,5477,1,31,2,1,0,1,0,0,0,1,1,0,1,31,3.4339871,1,0
2,113,1,64,8,1,1,6,0,1,1,0,1,0,0,64,4.1588831,0,0
2,5642,3,84,2,1,1,4,0,1,3,0,1,1,1,84,4.4308167,0,1
2,3971,2,60,3,1,1,4,0,1,3,0,1,0,0,60,4.0943446,0,1
2,7292,1,53,2,1,1,1,0,1,1,0,1,0,1,53,3.9702919,1,0
2,4028,4,40,1,1,1,1,0,1,2,0,1,1,1,40,3.6888795,1,0
2,8411,4,33,2,1,1,1,0,1,2,0,1,1,1,33,3.4965076,1,0
2,7780,4,41,1,1,1,1,0,1,3,0,1,0,1,41,3.713572,1,0
2,8362,2,58,4,1,1,1,0,1,2,0,1,0,0,58,4.0604429,1,0
2,4605,2,81,2,1,1,4,0,1,1,0,1,0,1,81,4.3944492,0,1
2,7263,3,28,2,1,0,3,0,1,2,0,1,0,1,28,3.3322046,0,0
2,4120,1,58,1,4,0,1,150000,1,1,1,1,0,1,58,4.0604429,1,0
2,8037,3,36,2,1,1,1,129000,1,2,0,1,0,1,36,3.583519,1,0
2,5148,4,30,2,1,1,1,85800,1,1,0,1,1,1,30,3.4011974,1,0
2,3926,4,37,3,2,0,1,80000,1,2,0,1,1,0,37,3.6109178,1,0
2,9298,5,38,1,1,0,3,0,1,1,0,1,0,1,38,3.6375861,0,0
2,6822,2,89,2,1,1,4,0,1,2,0,1,0,1,89,4.4886365,0,1
2,8488,1,62,1,1,1,1,450,1,1,0,1,0,1,62,4.1271343,1,0
2,3864,1,53,3,1,1,1,52000,1,1,0,1,0,0,53,3.9702919,1,0
2,7499,1,37,2,1,0,1,0,1,1,0,0,0,1,37,3.6109178,1,0
2,4927,1,29,1,3,0,1,0,1,2,0,1,0,1,29,3.3672957,1,0
2,4016,2,65,2,1,1,1,0,1,2,0,1,0,1,65,4.1743875,1,0
2,5696,4,40,2,1,1,1,4000,1,2,1,1,1,1,40,3.6888795,1,0
2,3976,2,59,2,4,1,1,42000,1,2,0,1,0,1,59,4.0775375,1,0
2,8136,4,36,2,1,0,1,0,1,2,0,1,0,1,36,3.583519,1,0
2,520,2,53,2,1,1,1,0,1,2,0,1,0,1,53,3.9702919,1,0
2,523,3,58,2,1,1,1,80000,1,4,1,1,1,1,58,4.0604429,1,0
2,6225,2,33,2,3,1,1,85000,1,2,0,1,1,1,33,3.4965076,1,0
2,3944,3,60,2,1,1,1,135000,1,3,0,1,0,1,60,4.0943446,1,0
2,4367,4,41,3,1,1,1,62500,1,2,0,1,0,0,41,3.713572,1,0
2,339,1,69,2,1,1,4,0,1,1,0,1,0,1,69,4.2341065,0,1
2,2066,2,41,4,4,1,5,0,1,1,0,1,1,0,41,3.713572,0,0
2,1647,1,23,3,3,0,3,0,1,1,0,0,0,0,23,3.1354942,0,0
2,2338,3,71,1,1,1,4,0,0,0,0,1,1,1,71,4.2626801,0,1
2,1540,2,43,4,1,0,5,0,1,2,0,1,0,0,43,3.7612002,0,0
2,5695,2,71,1,1,1,4,0,1,2,0,1,0,1,71,4.2626801,0,1
2,2238,1,71,2,1,1,4,0,1,2,0,1,0,1,71,4.2626801,0,1
2,1039,1,75,1,1,1,4,0,0,0,0,1,0,1,75,4.3174882,0,1
2,1134,1,37,4,3,0,5,0,0,0,0,1,0,0,37,3.6109178,0,0
2,5837,1,58,3,3,0,1,0,1,1,0,1,0,0,58,4.0604429,1,0
2,4044,3,42,4,3,0,1,0,1,1,0,1,0,0,42,3.7376697,1,0
2,5663,1,40,3,3,0,1,44000,1,2,0,1,0,0,40,3.6888795,1,0
2,7687,3,24,3,3,0,1,0,1,2,0,1,0,0,24,3.1780539,1,0
2,7661,1,21,5,3,0,3,0,0,0,0,1,0,0,21,3.0445225,0,0
2,5651,4,43,0,1,1,1,0,1,1,0,1,0,0,43,3.7612002,1,0
2,9058,7,39,3,1,0,1,0,0,0,0,1,0,0,39,3.6635616,1,0
2,6054,3,37,3,3,0,1,0,0,0,0,1,0,0,37,3.6109178,1,0
2,6739,3,34,3,3,0,1,0,1,1,0,1,0,0,34,3.5263605,1,0
2,7795,2,39,3,3,0,1,550,1,1,0,1,0,0,39,3.6635616,1,0
2,4772,2,89,4,1,1,4,0,1,2,0,1,0,0,89,4.4886365,0,1
2,5303,1,25,2,1,0,1,0,0,0,0,0,0,1,25,3.2188759,1,0
2,4640,2,74,2,1,1,1,13100,1,2,1,1,0,1,74,4.3040652,1,0
2,8785,2,39,2,1,1,1,0,1,2,0,1,1,1,39,3.6635616,1,0
2,4901,5,44,2,1,0,1,74000,1,2,0,1,1,1,44,3.7841897,1,0
2,4287,3,60,3,1,1,1,0,1,2,0,1,0,0,60,4.0943446,1,0
2,4069,2,70,3,1,1,4,0,1,2,0,1,0,0,70,4.2484951,0,1
2,7307,3,50,2,1,1,4,0,1,4,0,1,1,1,50,3.9120231,0,1
2,9176,6,47,1,1,1,1,0,1,3,0,1,0,1,47,3.8501475,1,0
2,9437,2,57,2,1,1,1,95000,1,2,0,1,0,1,57,4.0430512,1,0
2,438,3,77,3,1,1,4,0,1,2,0,1,0,0,77,4.3438053,0,1
2,267,4,38,1,1,1,1,9999999,1,2,0,1,0,1,38,3.6375861,1,0
2,4987,3,62,2,1,1,1,132000,1,3,0,1,1,1,62,4.1271343,1,0
2,8430,2,60,3,1,1,1,0,1,3,0,1,1,0,60,4.0943446,1,0
